audio_mode,audio_split,checkpoint_path,checkpoint_sha256,checkpoint_step,integrated_unintended_key_state,max_target_key_state,max_unintended_key_state,mean_action_saturation,mismatched_sequence,native_reward_sum,pressed_key_f1,pressed_key_precision,pressed_key_recall,pressed_keys,sequence,sequence_group,sequence_name,shaped_return,strict_outcome,target_keys,timestep_f1,timestep_precision,timestep_recall,variant_index,wrong_press_count,wrong_pressed_keys
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07549026310443879,0.0,0.8724768757820129,0.13636363636363635,,3.0730123844866637,0.0,0.0,0.0,53,72,anchor,anchor_72,-16.094077767476293,missed,51,0.0,0.0,0.0,0,1,53
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.0,0.807183563709259,0.1818181818181818,,2.4191421445832137,0.0,0.0,0.0,,72,anchor,anchor_72,-12.31986782213597,missed,51,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07080249786376953,0.0,0.8458057045936584,0.1212121212121212,73,3.2417540109736604,0.0,0.0,0.0,,72,anchor,anchor_72,-17.409514620368142,missed,51,0.0,0.0,0.0,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07080249786376953,0.3299804627895355,0.8458057045936584,0.1212121212121212,,3.2561281074129713,0.0,0.0,0.0,,73,anchor,anchor_73,-12.596155011781576,missed,52,0.0,0.0,0.0,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.40762683749198914,0.807183563709259,0.1818181818181818,,2.45230800349305,0.0,0.0,0.0,,73,anchor,anchor_73,-10.106559235122853,missed,52,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07768630981445312,0.33833035826683044,0.8743861317634583,0.11363636363636363,74,3.1674991408033533,0.0,0.0,0.0,53,73,anchor,anchor_73,-18.056447068787246,missed,52,0.0,0.0,0.0,0,1,53
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07735414225608112,0.8743861317634583,0.8378886580467224,0.11363636363636363,,4.15449694750188,1.0,1.0,1.0,53,74,anchor,anchor_74,-4.9594957225018685,clean_high_unintended,53,0.2857142857142857,1.0,0.16666666666666666,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.09010510891675949,0.807183563709259,0.1818181818181818,,2.4195705887284555,0.0,0.0,0.0,,74,anchor,anchor_74,-6.952788999284788,missed,53,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.09054100513458252,0.0,1.0,0.20454545454545456,75,3.7335680725724982,0.0,0.0,0.0,54,74,anchor,anchor_74,-22.733102523856356,missed,53,0.0,0.0,0.0,0,1,54
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.049959047138690954,1.0,0.8108201026916504,0.20454545454545456,,4.901217560331549,1.0,1.0,1.0,54,75,anchor,anchor_75,-1.079996938937385,clean_high_unintended,54,0.2857142857142857,1.0,0.16666666666666666,0,0,
