audio_mode,correctly_executed_prefix_length_max,correctly_executed_prefix_length_mean,correctly_executed_prefix_length_min,first_error_position_max,first_error_position_mean,first_error_position_min,model_label,ordered_event_accuracy_max,ordered_event_accuracy_mean,ordered_event_accuracy_min,sequence_count,sequence_length,target_event_hit_rate_max,target_event_hit_rate_mean,target_event_hit_rate_min,timestep_f1_max,timestep_f1_mean,timestep_f1_min,transition_event_pair_accuracy_max,transition_event_pair_accuracy_mean,transition_event_pair_accuracy_min,unintended_presses_per_target_event_max,unintended_presses_per_target_event_mean,unintended_presses_per_target_event_min
basic_pitch,3.0,1.8,1.0,3.0,1.8,1.0,Pipeline1 Basic Pitch,0.3,0.18000000000000002,0.1,5,10,0.3,0.18000000000000002,0.1,0.17073170731707318,0.16354847086554408,0.15151515151515152,0.2222222222222222,0.08888888888888888,0.0,1.2,0.5199999999999999,0.1
basic_pitch,3.0,1.8,1.0,3.0,1.8,1.0,Pipeline1 Basic Pitch,0.15,0.09000000000000001,0.05,5,20,0.15,0.09000000000000001,0.05,0.09859154929577466,0.0898654098570012,0.07936507936507937,0.10526315789473684,0.042105263157894736,0.0,0.6,0.25999999999999995,0.05
basic_pitch,2.0,1.4,1.0,2.0,1.4,1.0,Pipeline1 Basic Pitch,0.6666666666666666,0.4666666666666666,0.3333333333333333,5,3,0.6666666666666666,0.4666666666666666,0.3333333333333333,0.4827586206896552,0.42226600985221674,0.4,0.5,0.2,0.0,1.6666666666666667,0.9333333333333333,0.3333333333333333
basic_pitch,3.0,1.8,1.0,3.0,1.8,1.0,Pipeline1 Basic Pitch,0.6,0.36000000000000004,0.2,5,5,0.6,0.36000000000000004,0.2,0.28571428571428575,0.2782328782328783,0.2692307692307693,0.5,0.2,0.0,2.4,1.0399999999999998,0.2
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.1,0.1,0.1,5,10,0.1,0.1,0.1,0.18181818181818182,0.1566984084104365,0.14705882352941174,0.0,0.0,0.0,0.3,0.12000000000000002,0.0
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.05,0.05,0.05,5,20,0.05,0.05,0.05,0.09523809523809523,0.08229366641669791,0.078125,0.0,0.0,0.0,0.15,0.06000000000000001,0.0
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4347826086956522,0.3922753263566728,0.3225806451612903,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.2,0.2,0.2,5,5,0.2,0.2,0.2,0.33333333333333337,0.28605071236650187,0.2631578947368421,0.0,0.0,0.0,0.6,0.24000000000000005,0.0
correct,2.0,1.2,1.0,2.0,1.2,1.0,Pipeline2 seed13 1.25M,0.2,0.12,0.1,5,10,0.5,0.42000000000000004,0.4,0.37333333333333335,0.32869406392694067,0.3013698630136986,0.2222222222222222,0.13333333333333336,0.0,0.3,0.18,0.1
correct,2.0,1.2,1.0,2.0,1.2,1.0,Pipeline2 seed13 1.25M,0.1,0.06,0.05,5,20,0.4,0.36000000000000004,0.3,0.2896551724137931,0.23395456183514501,0.19580419580419578,0.21052631578947367,0.12631578947368421,0.05263157894736842,0.55,0.38,0.2
correct,2.0,1.2,1.0,2.0,1.2,1.0,Pipeline2 seed13 1.25M,0.6666666666666666,0.39999999999999997,0.3333333333333333,5,3,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.56,0.35705175983436854,0.1904761904761905,0.5,0.1,0.0,0.3333333333333333,0.13333333333333333,0.0
correct,2.0,1.2,1.0,2.0,1.2,1.0,Pipeline2 seed13 1.25M,0.4,0.24,0.2,5,5,0.4,0.36,0.2,0.4210526315789474,0.2984143405196037,0.1212121212121212,0.25,0.05,0.0,0.2,0.04,0.0
mismatched,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1,10,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
mismatched,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1,20,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
mismatched,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
mismatched,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
zero,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
correct,2.0,1.2,1.0,2.0,1.2,1.0,Pipeline2 seed13 1M,0.2,0.12,0.1,5,10,0.5,0.4,0.3,0.4691358024691357,0.32430210329753706,0.24324324324324323,0.2222222222222222,0.13333333333333336,0.0,0.7,0.34,0.1
