audio_mode,correctly_executed_prefix_length_max,correctly_executed_prefix_length_mean,correctly_executed_prefix_length_min,first_error_position_max,first_error_position_mean,first_error_position_min,model_label,ordered_event_accuracy_max,ordered_event_accuracy_mean,ordered_event_accuracy_min,original_transition_coverage_fraction,sequence_count,target_event_hit_rate_max,target_event_hit_rate_mean,target_event_hit_rate_min,timestep_f1_max,timestep_f1_mean,timestep_f1_min,transition_event_pair_accuracy_max,transition_event_pair_accuracy_mean,transition_event_pair_accuracy_min,unintended_presses_per_target_event_max,unintended_presses_per_target_event_mean,unintended_presses_per_target_event_min
basic_pitch,3.0,2.0,1.0,3.0,2.0,1.0,Pipeline1 Basic Pitch,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.0,3,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.4827586206896552,0.3935202728306177,0.2692307692307693,0.5,0.3333333333333333,0.0,2.4,1.4666666666666668,0.6666666666666666
basic_pitch,3.0,2.0,1.0,3.0,2.0,1.0,Pipeline1 Basic Pitch,0.3,0.2,0.1,0.1111111111111111,2,0.3,0.2,0.1,0.17073170731707318,0.1664469347396177,0.16216216216216217,0.2222222222222222,0.1111111111111111,0.0,1.2,0.8999999999999999,0.6
basic_pitch,3.0,2.0,1.0,3.0,2.0,1.0,Pipeline1 Basic Pitch,0.15,0.10000000000000002,0.05,0.15789473684210525,3,0.15,0.10000000000000002,0.05,0.09859154929577466,0.09301762633694526,0.08955223880597016,0.10526315789473684,0.05263157894736842,0.0,0.6,0.3333333333333333,0.1
basic_pitch,2.0,1.5,1.0,2.0,1.5,1.0,Pipeline1 Basic Pitch,0.4,0.30000000000000004,0.2,0.25,2,0.4,0.30000000000000004,0.2,0.28571428571428575,0.27922077922077926,0.27272727272727276,0.25,0.125,0.0,1.2,0.8,0.4
basic_pitch,2.0,2.0,2.0,2.0,2.0,2.0,Pipeline1 Basic Pitch,0.2,0.2,0.2,0.3333333333333333,1,0.2,0.2,0.2,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2,0.2,0.2
basic_pitch,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Basic Pitch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.4,0.4,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
basic_pitch,2.0,1.5,1.0,2.0,1.5,1.0,Pipeline1 Basic Pitch,0.6666666666666666,0.25625000000000003,0.05,1.0,8,0.6666666666666666,0.25625000000000003,0.05,0.4,0.2314935064935065,0.07936507936507937,0.5,0.11421783625730994,0.0,1.6666666666666667,0.5541666666666667,0.05
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.3333333333333333,0.2888888888888889,0.2,0.0,3,0.3333333333333333,0.2888888888888889,0.2,0.4347826086956522,0.36322275452710234,0.2702702702702703,0.0,0.0,0.0,1.0,0.4666666666666666,0.0
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.1,0.1,0.1,0.1111111111111111,2,0.1,0.1,0.1,0.15151515151515152,0.15038444142921753,0.14925373134328357,0.0,0.0,0.0,0.2,0.15000000000000002,0.1
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.05,0.05000000000000001,0.05,0.15789473684210525,3,0.05,0.05000000000000001,0.05,0.09523809523809523,0.0844477773611632,0.07874015748031496,0.0,0.0,0.0,0.1,0.05000000000000001,0.0
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.2,0.2,0.2,0.25,2,0.2,0.2,0.2,0.33333333333333337,0.3055555555555556,0.2777777777777778,0.0,0.0,0.0,0.2,0.1,0.0
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.1,0.1,0.1,0.3333333333333333,1,0.1,0.1,0.1,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
oracle,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline1 Oracle,0.3333333333333333,0.17083333333333334,0.05,1.0,8,0.3333333333333333,0.17083333333333334,0.05,0.4347826086956522,0.22841251889221625,0.078125,0.0,0.0,0.0,1.0,0.25625,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1.25M,0.3333333333333333,0.2888888888888889,0.2,0.0,3,0.6666666666666666,0.4666666666666666,0.3333333333333333,0.56,0.4461261261261262,0.37837837837837834,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1.25M,0.1,0.1,0.1,0.1111111111111111,2,0.5,0.45,0.4,0.32876712328767127,0.32438356164383564,0.32000000000000006,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.2,0.15000000000000002,0.1
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1.25M,0.05,0.05000000000000001,0.05,0.15789473684210525,3,0.4,0.3666666666666667,0.3,0.24161073825503357,0.22810448031924543,0.20270270270270271,0.15789473684210525,0.12280701754385964,0.05263157894736842,0.55,0.43333333333333335,0.3
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1.25M,0.2,0.2,0.2,0.25,2,0.4,0.4,0.4,0.4210526315789474,0.3533834586466166,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1.25M,0.1,0.1,0.1,0.3333333333333333,1,0.4,0.4,0.4,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.0,0.0,0.0,0.1,0.1,0.1
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1.25M,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
correct,2.0,1.5,1.0,2.0,1.5,1.0,Pipeline2 seed13 1.25M,0.6666666666666666,0.25625000000000003,0.05,1.0,8,0.6666666666666666,0.3875,0.2,0.4347826086956522,0.26737680466624214,0.1212121212121212,0.5,0.16831140350877194,0.0,0.4,0.20416666666666666,0.0
mismatched,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1.0,4,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.33333333333333337,0.2
zero,0.0,0.0,0.0,0.0,0.0,0.0,Pipeline2 seed13 1.25M,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1M,0.3333333333333333,0.2888888888888889,0.2,0.0,3,0.6666666666666666,0.4666666666666666,0.3333333333333333,0.6153846153846153,0.4561403508771929,0.3684210526315789,0.0,0.0,0.0,1.0,0.39999999999999997,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1M,0.1,0.1,0.1,0.1111111111111111,2,0.4,0.35,0.3,0.35135135135135137,0.2972972972972973,0.24324324324324323,0.1111111111111111,0.05555555555555555,0.0,0.5,0.3,0.1
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1M,0.05,0.05000000000000001,0.05,0.15789473684210525,3,0.35,0.31666666666666665,0.3,0.2876712328767123,0.2058708817164331,0.15602836879432622,0.15789473684210525,0.12280701754385964,0.10526315789473684,0.45,0.3,0.2
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1M,0.2,0.2,0.2,0.25,2,0.6,0.5,0.4,0.3684210526315789,0.3270676691729323,0.2857142857142857,0.25,0.125,0.0,0.2,0.1,0.0
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1M,0.1,0.1,0.1,0.3333333333333333,1,0.5,0.5,0.5,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7,0.7,0.7
correct,1.0,1.0,1.0,1.0,1.0,1.0,Pipeline2 seed13 1M,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
correct,2.0,1.5,1.0,2.0,1.5,1.0,Pipeline2 seed13 1M,0.6666666666666666,0.25625000000000003,0.05,1.0,8,0.6666666666666666,0.40625,0.25,0.5925925925925926,0.37532659081940045,0.2702702702702703,0.5,0.15515350877192982,0.0,0.6,0.3041666666666667,0.0
